共 2177 部电影

('9.2', '盗梦空间')
('9.1', '西游记')
('9', '越狱 第一季')
('9', '蝙蝠侠：黑暗骑士')
('9', '福音战士新剧场版：序')
('9', '指环王3：王者无敌')
('8.9', '赌博默示录')
('8.9', '潜艇风暴')
('8.9', '攻壳机动队')
('8.9', '天空之城')
('8.9', '大话西游之大圣娶亲')
('8.9', '从海底出击')
('8.8', '让子弹飞')
('8.8', '蝙蝠侠：黑暗骑士')
('8.8', '蝙蝠侠前传2：黑暗骑士')
('8.8', '精英部队2')
('8.8', '盗梦空间')
('8.8', '指环王2：双塔奇兵')
('8.8', '指环王1：魔戒再现')
('8.8', '巴霍巴利王(上)')
('8.8', '大话西游之月光宝盒')
('8.7', '黑客帝国')
('8.7', '风之谷')
('8.7', '阿凡达')
('8.7', '突袭2：暴徒')
('8.7', '机动战士高达：逆袭的夏亚')
('8.7', '撤离科威特')
('8.7', '拯救大兵雷恩')
('8.7', '拯救大兵瑞恩')
('8.7', '惊世未了缘')
('8.7', '勇敢的心')
('8.7', '七龙珠')
('8.7', 'V字仇杀队')
('8.6', '谍影重重3')
('8.6', '蝙蝠侠：黑暗骑士归来(下)')
('8.6', '纵横四海')
('8.6', '火影忍者剧场版：博人传')
('8.6', '泰坦尼克号')
('8.6', '敲开天堂的门')
('8.6', '哈尔的移动城堡')
('8.6', '哈利·波特与死亡圣器(下)')
('8.6', '剑风传奇 黄金时代篇3：降临')
('8.6', '乱')
('8.6', '上帝也疯狂')
('8.6', 'GTO')
('8.5', '鹿鼎记')
('8.5', '银河护卫队')
('8.5', '钢铁巨人')
('8.5', '被解救的姜戈')
('8.5', '街头霸王：暗杀拳')
('8.5', '美国队长3')
('8.5', '海贼王剧场版Z')
('8.5', '恶童')
('8.5', '太平洋战争')
('8.5', '剑风传奇 黄金时代篇Ⅱ：多尔多雷攻略')
('8.5', '东邪西毒：终极版')
('8.4', '蝙蝠侠：黑暗骑士崛起')
('8.4', '终结者2')
('8.4', '疯狂的麦克斯4：狂暴之路')
('8.4', '星球大战7：原力觉醒')
('8.4', '宝贝')
('8.4', '名侦探柯南2001：通向天国的倒计时')
('8.4', '午夜狂奔')
('8.3', '黑鹰坠落')
('8.3', '飞出个未来大电影1：班德大行动')
('8.3', '釜山行')
('8.3', '速度与激情5')
