共 2664 部电影

('9.5', '室友')
('9.3', '机器人总动员')
('9.2', '蜂蜜与四叶草')
('9.2', '猎人')
('9.1', '三个白痴')
('9', '虎口脱险')
('9', '疯狂原始人')
('9', '武林外传')
('9', '无法触碰')
('8.9', '玩具总动员3')
('8.9', '玛丽和马克思')
('8.9', '大话西游之大圣娶亲')
('8.9', '变色龙')
('8.8', '飞屋环游记')
('8.8', '跳跃大搜查线')
('8.8', '超级无敌掌门狗：引鹅入室')
('8.8', '超级无敌掌门狗：剃刀边缘')
('8.8', '让子弹飞')
('8.8', '怦然心动')
('8.8', '天使爱美丽')
('8.8', '大话西游之月光宝盒')
('8.7', '驯龙高手')
('8.7', '跳出我天地')
('8.7', '海盗电台')
('8.7', '射雕英雄传之东成西就')
('8.7', '外星醉汉PK地球神')
('8.7', '再见列宁')
('8.7', '七龙珠')
('8.6', '骗中骗')
('8.6', '超级无敌羊咩咩')
('8.6', '热情似火')
('8.6', '敲开天堂的门')
('8.6', '夏日大作战')
('8.6', '喜宴')
('8.6', '上帝也疯狂')
('8.6', 'GTO')
('8.5', '麦兜故事')
('8.5', '鹿鼎记')
('8.5', '钢铁巨人')
('8.5', '里约大冒险')
('8.5', '超级无敌掌门狗：月球野餐记')
('8.5', '真爱至上')
('8.5', '爱情公寓')
('8.5', '消防员')
('8.5', '头脑特工队')
('8.5', '南方公园')
('8.5', '华尔街之狼')
('8.4', '遗愿清单')
('8.4', '萤之光')
('8.4', '瑞士军刀男')
('8.4', '朝圣之路')
('8.4', '怪物公司')
('8.4', '怪兽电力公司')
('8.4', '开心鬼上身')
('8.4', '布达佩斯大饭店')
('8.4', '卑鄙的我')
('8.4', '午夜狂奔')
('8.4', '列宁格勒牛仔征美记')
('8.4', '出水芙蓉')
('8.4', '偷天情缘')
('8.4', '二手雄狮')
('8.4', '七宗罪')
('8.3', '麦兜当当伴我心')
('8.3', '驯龙高手2')
('8.3', '马达加斯加3')
