共 921 部电影

('9.2', '虫师')
('8.8', '惊魂记')
('8.7', '灵异第六感')
('8.3', '怪谈')
('8.3', '异次元骇客')
('8.3', '奇谈')
('8.3', '夜访吸血鬼')
('8.1', '招魂')
('8.1', '妖夜荒踪')
('7.9', '暗夜恐惧')
('7.9', '吸血鬼')
('7.8', '黑猫')
('7.8', '阿修罗')
('7.8', '科学怪人')
('7.8', '深夜止步')
('7.8', '招魂2')
('7.8', '吸血僵尸惊情四百年')
('7.8', '僵尸肖恩')
('7.7', '群尸玩过界')
('7.6', '鬼影')
('7.6', '迷雾')
('7.6', '趣味游戏')
('7.6', '绿色房间')
('7.6', '电锯惊魂：重生')
('7.6', '理发师陶德')
('7.6', '死亡之雪2')
('7.6', '恶魔理发师')
('7.6', '怪形')
('7.6', '地狱神探')
('7.6', '唯爱永生')
('7.6', '双宝斗恶魔')
('7.6', '化身博士')
('7.6', '万能钥匙')
('7.5', '黑暗侵袭')
('7.5', '生化危机：诅咒')
('7.5', '生化危机')
('7.5', '杀出个黎明')
('7.5', '替身')
('7.5', '恐怖星球')
('7.5', '屏住呼吸/禁室杀戮')
('7.5', '奇门遁甲')
('7.5', '夜访吸血鬼')
('7.5', '回魂夜')
('7.5', '嗜血狂魔')
('7.4', '魔女嘉莉')
('7.4', '阴影之下')
('7.4', '生化危机2：启示录')
('7.4', '林中小屋')
('7.4', '双峰：与火同行')
('7.4', '午夜凶铃')
('7.4', '冰冷热带鱼')
('7.3', '鬼玩人2')
('7.3', '霓虹恶魔')
('7.3', '纪子的餐桌')
('7.3', '科学怪狗')
('7.3', '神秘拼图')
('7.3', '活死人黎明')
('7.3', '死神的十字路口')
('7.3', '战斧骨')
('7.3', '怪谈少女')
('7.3', '寂静岭')
('7.3', '天魔')
('7.3', '变蝇人')
('7.3', '凶兆')
('7.3', '人骨拼图')
('7.2', '鬼作秀')
('7.2', '阴风阵阵')
('7.2', '血仍未冷')
('7.2', '独自夜归的女孩')
('7.2', '温暖的尸体')
('7.2', '死寂')
('7.2', '来自地狱')
('7.2', '李碧华鬼魅系列：奇幻夜')
('7.2', '杀人漫画')
('7.2', '无名女尸')
('7.2', '捉迷藏')
('7.2', '恐怖蜡像馆')
('7.2', '当你熟睡')
('7.2', '幸存的女孩')
('7.2', '它在身后')
('7.2', '哭泣杀狼')
('7.2', '入侵脑细胞')
('7.2', '僵尸世界大战')
('7.1', '鬼魅')
('7.1', '鬼纳特归来')
('7.1', '鬼童院')
('7.1', '鬼夫')
('7.1', '鬼5虐')
('7.1', '请叫我英雄')
('7.1', '惊变28天')
('7.1', '恐怖幽灵')
('7.1', '德州电锯杀人狂')
('7.1', '大海怪')
('7.1', '办砸了')
('7.1', '倩女幽魂Ⅲ道道道')
('7.1', '1408幻影凶间')
('7', '鬼书')
('7', '诅咒')
('7', '汉江怪物')
('7', '死路')
('7', '死亡埋葬')
('7', '杀手们')
('7', '普罗米修斯')
('7', '惊声尖叫')
('7', '怪物')
('7', '凶榜')
('7', '僵尸之地')
('6.9', '鬼怪密林')
('6.9', '深海圆疑')
('6.9', '无声夜')
('6.9', '新蜀山剑侠')
('6.9', '心慌方·零')
('6.9', '异形魔怪')
('6.9', '女巫')
('6.9', '天赐之女')
('6.9', '天使追魂')
('6.9', '丧尸出笼')
('6.9', '一眉道人')
('6.9', 'X档案：征服未来')
('6.8', '鬼玩人3：魔界英豪')
('6.8', '鬼咬鬼')
('6.8', '非礼勿视之沼泽谋杀')
('6.8', '诡替身')
('6.8', '诡婴吉咪')
('6.8', '诡丝')
('6.8', '觅迹寻踪')
('6.8', '瘟疫')
('6.8', '生化危机3：灭绝')
('6.8', '生化危机3')
