共 690 部电影

('9.4', '博士之日')
('9.3', '机器人总动员')
('9.2', '盗梦空间')
('9', '福音战士新剧场版：序')
('8.9', '攻壳机动队2 无罪')
('8.9', '攻壳机动队')
('8.8', '盗梦空间')
('8.7', '黑客帝国')
('8.7', '风之谷')
('8.7', '阿凡达')
('8.7', '机动战士高达：逆袭的夏亚')
('8.7', 'V字仇杀队')
('8.6', '蝴蝶效应')
('8.6', '盗梦侦探')
('8.6', '夏日大作战')
('8.5', '银河护卫队')
('8.5', '钢铁巨人')
('8.5', '美国队长3')
('8.5', '变种异煞')
('8.5', '人工智能')
('8.4', '飞向太空')
('8.4', '这个男人来自地球')
('8.4', '终结者2')
('8.4', '疯狂的麦克斯4：狂暴之路')
('8.4', '月球')
('8.4', '星球大战前传1：幽灵的威胁')
('8.4', '星球大战7：原力觉醒')
('8.4', 'K星异客')
('8.3', '飞出个未来大电影1：班德大行动')
('8.3', '死侍')
('8.3', '攻壳机动队 新剧场版')
('8.3', '夺面双雄')
('8.3', '地心引力')
('8.3', '回到未来')
('8.3', '变脸')
('8.2', '黑客帝国3')
('8.2', '超时空接触')
('8.2', '美国队长3')
('8.2', '第九区')
('8.2', '火星救援')
('8.2', '橘色奇迹')
('8.2', '星球大战2：帝国反击战')
('8.2', '星球大战')
('8.2', '无姓之人')
('8.2', '小王子')
('8.2', '她')
('8.2', '哆啦A梦：大雄与云之国')
('8.2', '光明战士阿基拉')
('8.1', '黑客帝国2')
('8.1', '飞出个未来大电影2：万背之兽')
('8.1', '铁甲钢拳')
('8.1', '美国队长2')
('8.1', '正义联盟：闪点悖论')
('8.1', '最终幻想7：降临之子')
('8.1', '最终幻想7：圣子降临')
('8.1', '星际迷航：暗黑无界')
('8.1', '星球大战3：绝地归来')
('8.1', '明日边缘')
('8.1', '宇宙战舰大和号')
('8.1', '哆啦A梦：大雄的创世日记')
('8.1', '哆啦A梦：大雄与铁人兵团')
('8.1', '哆啦A梦：大雄与梦幻三剑士')
('8.1', 'X战警：逆转未来')
('8', '黑洞频率')
('8', '银翼杀手')
('8', '银河系漫游指南')
('8', '超能陆战队')
('8', '童梦失魂夜')
('8', '猩球崛起2：黎明之战')
('8', '机械姬')
('8', '复仇者联盟')
('8', '变形金刚')
('8', '云图')
('8', 'X战警：第一战')
('7.9', '饥饿游戏2：星火燎原')
('7.9', '猩球崛起')
('7.9', '独立日')
('7.9', '浩劫余生')
('7.9', '死亡游戏')
('7.9', '暴力街区')
('7.9', '星球大战前传3：西斯的复仇')
('7.9', '星球大战前传1：幽灵的威胁')
('7.9', '新机械战警')
('7.9', '复仇者联盟2：奥创纪元')
('7.9', '十二猴子')
('7.9', '决战猩球')
('7.9', '人猿星球')
('7.9', '12猴子')
('7.8', '黑衣人')
('7.8', '黑暗城市')
('7.8', '终结者')
('7.8', '第五元素')
('7.8', '移魂都市')
('7.8', '科学怪人')
('7.8', '极光追杀令')
('7.8', '末日浩劫')
('7.8', '有关时间旅行的热门问题')
('7.8', '最终幻想15：王者之剑')
('7.8', '星际旅行4：抢救未来')
('7.8', '天空之Escaflowne')
('7.8', '圣天空战记')
('7.8', '哆啦A梦：大雄的猫狗时空传')
('7.8', '后天')
('7.8', '再造人卡辛')
('7.7', '飞出个未来大电影3：班德的游戏')
('7.7', '星际旅行8：第一类接触')
('7.7', '星球大战前传2：克隆人的进攻')
('7.7', '我，机器人')
('7.7', '地心游记')
('7.7', '地心历险记')
('7.7', '哆啦A梦：大雄的南海大冒险')
('7.7', '哆啦A梦：大雄与风之使者')
('7.7', '哆啦A梦：大雄与机器人王国')
('7.6', '迷雾')
('7.6', '蚁人')
('7.6', '船长哈洛克')
('7.6', '科洛弗道10号')
('7.6', '我是传奇')
('7.6', '怪形')
('7.6', '小双侠')
('7.6', '太空堡垒卡拉狄加：利刃')
('7.6', '哆啦A梦：大雄的宇宙漂流记')
('7.6', '哆啦A梦07剧场版：大雄的新魔界大冒险之7个魔法师')
('7.6', '化身博士')
('7.6', 'X战警前传：金刚狼')
('7.6', '2010')
('7.5', '龙珠Z：神与神')
('7.5', '黑衣人3')
('7.5', '银河追缉令')
('7.5', '钢铁侠3')
('7.5', '钢铁侠')
('7.5', '超人:钢铁之躯')
('7.5', '蒸汽男孩')
('7.5', '苹果核战记2')
('7.5', '苹果核战记')
('7.5', '生化危机：诅咒')
('7.5', '生化危机')
('7.5', '星际迷航3：超越星辰')
('7.5', '星际远征')
('7.5', '星际旅行6：未来之城')
('7.5', '星际旅行2：可汗怒吼')
('7.5', '星银岛')
('7.5', '时空线索')
('7.5', '时光机器')
('7.5', '恐怖星球')
('7.5', '恐怖博士的欢唱博客')
('7.5', '少数派报告')
('7.5', '守望者')
('7.5', '嗜血狂魔')
('7.5', '变形金刚2')
('7.5', '卫斯理传奇')
('7.5', '前目的地')
('7.5', '别让我走')
('7.5', '保罗')
('7.4', '铁血战士')
('7.4', '皮囊之下')
('7.4', '生化危机2：启示录')
('7.4', '死亡幻觉')
('7.4', '极度恐慌')
('7.4', '机器人历险记')
('7.4', '机器人与弗兰克')
('7.4', '未来警察')
('7.4', '星河战队')
('7.4', '撕裂的末日')
('7.4', '拜见罗宾逊一家')
('7.4', '恐怖地带')
('7.4', '忍者神龟')
('7.4', 'X战警：天启')
('7.3', '龙虾')
('7.3', '黑衣人2')
('7.3', '金刚')
('7.3', '超时空犯罪')
('7.3', '蝙蝠侠：哥谭骑士')
('7.3', '苜蓿地')
('7.3', '第三类接触')
('7.3', '科洛弗档案')
('7.3', '科学怪狗')
('7.3', '爱与和平')
('7.3', '火星任务')
('7.3', '活死人黎明')
('7.3', '柯洛弗档案')
('7.3', '机器人9号')
('7.3', '时空罪恶')
('7.3', '大决战！超奥特曼八兄弟')
('7.3', '变蝇人')
('7.3', '人类之子')
('7.3', '世界尽头')
('7.3', 'X战警3：背水一战')
('7.3', 'X战警2')
('7.3', 'I型起源')
('7.2', '黑夜传说')
('7.2', '重生男人')
('7.2', '超凡蜘蛛侠')
('7.2', '移动迷宫')
('7.2', '灵幻夹克')
('7.2', '火星人玩转地球')
('7.2', '星际旅行1：无限太空')
('7.2', '埃及艳后')
('7.2', '哆啦A梦：大雄的平行西游记')
('7.2', '另一个地球')
('7.2', '午夜逃亡')
('7.2', '入侵脑细胞')
('7.2', '僵尸世界大战')
('7.2', '侏罗纪世界')
('7.2', '你眼中的世界')
('7.2', '2013终极神差')
('7.1', '百慕大三角')
('7.1', '环太平洋')
('7.1', '特种部队：眼镜蛇的崛起')
('7.1', '死亡飞车')
('7.1', '正义联盟：神魔之战')
('7.1', '末世纪暴潮')
('7.1', '暴力街区2：终极')
('7.1', '星际之门')
('7.1', '我是谁')
('7.1', '惊变28天')
('7.1', '彗星来的那一夜')
('7.1', '宝莱坞机器人之恋')
('7.1', '太空堡垒卡拉狄加前传：卡布里卡')
('7.1', '大海怪')
('7.1', '光晕：传奇')
('7', '黑夜传说2：进化')
('7', '饥饿游戏3：嘲笑鸟(下)')
('7', '饥饿游戏3：嘲笑鸟(上)')
('7', '蝙蝠侠：血脉恩仇')
('7', '蝙蝠侠大战超人：正义黎明')
('7', '绿巨人')
('7', '终结者：创世纪')
('7', '现代豪侠传')
('7', '汉江怪物')
('7', '普罗米修斯')
('7', '星际旅行9：起义')
('7', '星际旅行3：石破天惊')
('7', '星际传奇')
('7', '怪物')
('7', '安德的游戏')
('7', '太阳')
('7', '地下理想国')
('7', '变形金刚3')
('7', '分歧者：异类觉醒')
('7', '2077日本锁国')
('7', '2046')
('6.9', '预见未来')
